Frequency [Hz] - Plot 0	Magnitude - Plot 0	Frequency [Hz] - Plot 1	Magnitude - Plot 1	
0.01	1.00374			
0.064103	1.00052			
0.128205	1.00011			
0.192308	1.00039			
0.25641	1.00111			
0.320513	1.0024			
0.384615	1.00279			
0.448718	1.00088			
0.512821	1.00198			
0.576923	1.00244			
0.641026	1.00498			
0.705128	1.00611			
0.769231	1.00579			
0.833333	1.00891			
0.897436	1.0141			
0.961538	1.01389			
1.025641	1.01811			
1.089744	1.02071			
1.153846	1.02955			
1.217949	1.03884			
1.282051	1.06468			
1.346154	1.10178			
1.410256	1.12074			
1.474359	0.968015			
1.538462	0.775702			
1.602564	0.849866			
1.666667	0.906935			
1.730769	0.927003			
1.794872	0.939035			
1.858974	0.945867			
1.923077	0.950123			
1.987179	0.952014			
2.051282	0.953946			
2.115385	0.957569			
2.179487	0.956371			
2.24359	0.956342			
2.307692	0.951461			
2.371795	0.952221			
2.435897	0.953658			
2.5	0.951007			
2.564103	0.947286			
2.628205	0.940618			
2.692308	0.939136			
2.75641	0.937091			
2.820513	0.933275			
2.884615	0.928281			
2.948718	0.924459			
3.012821	0.92133			
3.076923	0.914437			
3.141026	0.908875			
3.205128	0.906364			
3.269231	0.897742			
3.333333	0.887453			
3.397436	0.883803			
3.461538	0.876249			
3.525641	0.868738			
3.589744	0.86029			
3.653846	0.850729			
3.717949	0.844508			
3.782051	0.834214			
3.846154	0.827914			
3.910256	0.81536			
3.974359	0.808964			
4.038462	0.796763			
4.102564	0.788313			
4.166667	0.781744			
4.230769	0.770777			
4.294872	0.7604			
4.358974	0.751206			
4.423077	0.741097			
4.487179	0.731767			
4.551282	0.719781			
4.615385	0.710817			
4.679487	0.701699			
4.74359	0.68895			
4.807692	0.682492			
4.871795	0.669319			
4.935897	0.660661			
5	0.649866			
5.064103	0.637203			
5.128205	0.631828			
5.192308	0.621208			
5.25641	0.609634			
5.320513	0.602907			
5.384615	0.588876			
5.448718	0.584023			
5.512821	0.574701			
5.576923	0.561026			
