Frequency [Hz] - Plot 0	Magnitude - Plot 0	Frequency [Hz] - Plot 1	Magnitude - Plot 1	
0.01	1.00374			
0.064103	1.00052			
0.128205	1.00011			
0.192308	1.00039			
0.25641	1.00111			
0.320513	1.0024			
0.384615	1.00279			
0.448718	1.00088			
0.512821	1.00198			
0.576923	1.00244			
0.641026	1.00498			
0.705128	1.00611			
0.769231	1.00579			
0.833333	1.00891			
0.897436	1.01409			
0.961538	1.0138			
1.025641	1.0181			
1.089744	1.02075			
1.153846	1.02962			
1.217949	1.03892			
1.282051	1.06478			
1.346154	1.1019			
1.410256	1.12088			
1.474359	0.968159			
1.538462	0.775833			
1.602564	0.850016			
1.666667	0.907115			
1.730769	0.927216			
1.794872	0.939262			
1.858974	0.946111			
1.923077	0.950383			
1.987179	0.952294			
2.051282	0.954242			
2.115385	0.957884			
2.179487	0.95672			
2.24359	0.956702			
2.307692	0.951837			
2.371795	0.952629			
2.435897	0.954084			
2.5	0.951459			
2.564103	0.947757			
2.628205	0.941118			
2.692308	0.939665			
2.75641	0.93765			
2.820513	0.933862			
2.884615	0.928888			
2.948718	0.925091			
3.012821	0.921988			
3.076923	0.915124			
3.141026	0.909579			
3.205128	0.907098			
3.269231	0.898501			
3.333333	0.888236			
3.397436	0.884604			
3.461538	0.877083			
3.525641	0.869593			
3.589744	0.861173			
3.653846	0.851632			
3.717949	0.845435			
3.782051	0.835164			
3.846154	0.828886			
3.910256	0.816355			
3.974359	0.809987			
4.038462	0.797801			
4.102564	0.789374			
4.166667	0.782828			
4.230769	0.771887			
4.294872	0.761525			
4.358974	0.752348			
4.423077	0.74226			
4.487179	0.732956			
4.551282	0.720977			
4.615385	0.712039			
4.679487	0.70294			
4.74359	0.690204			
4.807692	0.683767			
4.871795	0.670612			
4.935897	0.661962			
5	0.651175			
5.064103	0.638531			
5.128205	0.633171			
5.192308	0.622562			
5.25641	0.611001			
5.320513	0.604281			
5.384615	0.590262			
5.448718	0.585421			
5.512821	0.576118			
5.576923	0.56245			
