LNEC Test File eXtractor

File: TolmezzoReducedScale_2.DRV

Created in: 2025-07-02 16:01:57.125582

Number of channels: 3

Name:	DispT	DispL	DispV
Type:	Displacement	Displacement	Displacement
Unit:	m	m	m
No. of Samples:	8982	8982	8982
Time step [s]:	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	44.905	44.905	44.905
Data:
DispT	DispL	DispV
-3.4371685889847413e-06	0.0	0.0
-4.882068542671276e-06	0.0	0.0
-4.882068542671276e-06	0.0	0.0
-4.159618565828008e-06	0.0	0.0
-3.4371685889847413e-06	0.0	0.0
-1.992268635298207e-06	0.0	0.0
1.7508129523159415e-07	0.0	0.0
8.975312720748612e-07	0.0	0.0
8.975312720748612e-07	0.0	0.0
1.7508129523159415e-07	0.0	0.0
-5.473686816116729e-07	0.0	0.0
-5.473686816116729e-07	0.0	0.0
-5.473686816116729e-07	0.0	0.0
8.975312720748612e-07	0.0	0.0
1.6199812489181283e-06	0.0	0.0
3.78733117944793e-06	0.0	0.0
3.78733117944793e-06	0.0	0.0
3.0648812026046624e-06	0.0	0.0
1.6199812489181283e-06	0.0	0.0
1.7508129523159415e-07	0.0	0.0
-5.473686816116729e-07	0.0	0.0
-5.473686816116729e-07	0.0	0.0
1.7508129523159415e-07	0.0	0.0
1.6199812489181283e-06	0.0	0.0
3.0648812026046624e-06	0.0	0.0
3.0648812026046624e-06	0.0	0.0
2.3424312257613957e-06	0.0	0.0
1.7508129523159415e-07	0.0	0.0
-2.714718612141474e-06	0.0	0.0
-4.159618565828008e-06	0.0	0.0
-4.159618565828008e-06	0.0	0.0
-3.4371685889847413e-06	0.0	0.0
-5.473686816116729e-07	0.0	0.0
1.6199812489181283e-06	0.0	0.0
2.3424312257613957e-06	0.0	0.0
3.0648812026046624e-06	0.0	0.0
1.6199812489181283e-06	0.0	0.0
-5.473686816116729e-07	0.0	0.0
-3.4371685889847413e-06	0.0	0.0
-4.882068542671276e-06	0.0	0.0
-4.882068542671276e-06	0.0	0.0
-3.4371685889847413e-06	0.0	0.0
-1.992268635298207e-06	0.0	0.0
1.7508129523159415e-07	0.0	0.0
1.7508129523159415e-07	0.0	0.0
1.7508129523159415e-07	0.0	0.0
-1.2698186584549402e-06	0.0	0.0
-3.4371685889847413e-06	0.0	0.0
-4.159618565828008e-06	0.0	0.0
-4.159618565828008e-06	0.0	0.0
-3.4371685889847413e-06	0.0	0.0
-2.714718612141474e-06	0.0	0.0
-1.992268635298207e-06	0.0	0.0
-1.992268635298207e-06	0.0	0.0
-2.714718612141474e-06	0.0	0.0
-4.882068542671276e-06	0.0	0.0
-7.0494184732010765e-06	0.0	0.0
-7.771868450044344e-06	0.0	0.0
-7.771868450044344e-06	0.0	0.0
-7.771868450044344e-06	0.0	0.0
-5.604518519514543e-06	0.0	0.0
-4.882068542671276e-06	0.0	0.0
-5.604518519514543e-06	0.0	0.0
-6.326968496357809e-06	0.0	0.0
-7.771868450044344e-06	0.0	0.0
-1.0661668357417413e-05	0.0	0.0
-1.138411833426068e-05	0.0	0.0
-1.138411833426068e-05	0.0	0.0
-1.0661668357417413e-05	0.0	0.0
-8.49431842688761e-06	0.0	0.0
-7.771868450044344e-06	0.0	0.0
-7.0494184732010765e-06	0.0	0.0
-8.49431842688761e-06	0.0	0.0
-9.939218380574145e-06	0.0	0.0
-1.2106568311103947e-05	0.0	0.0
-1.355146826479048e-05	0.0	0.0
-1.4273918241633748e-05	0.0	0.0
-1.4273918241633748e-05	0.0	0.0
-1.2106568311103947e-05	0.0	0.0
-1.2106568311103947e-05	0.0	0.0
-1.2829018287947214e-05	0.0	0.0
-1.4273918241633748e-05	0.0	0.0
-1.644126817216355e-05	0.0	0.0
-1.8608618102693352e-05	0.0	0.0
-2.077596803322315e-05	0.0	0.0
-2.1498418010066417e-05	0.0	0.0
-2.1498418010066417e-05	0.0	0.0
-2.077596803322315e-05	0.0	0.0
-2.0053518056379885e-05	0.0	0.0
-2.077596803322315e-05	0.0	0.0
-2.2220867986909684e-05	0.0	0.0
-2.4388217917439486e-05	0.0	0.0
-2.5833117871126022e-05	0.0	0.0
-2.7278017824812558e-05	0.0	0.0
-2.8000467801655824e-05	0.0	0.0
-2.8000467801655824e-05	0.0	0.0
-2.872291777849909e-05	0.0	0.0
-2.872291777849909e-05	0.0	0.0
-3.0167817732185626e-05	0.0	0.0
-3.161271768587216e-05	0.0	0.0
-3.450251759324523e-05	0.0	0.0
-3.594741754693176e-05	0.0	0.0
-3.666986752377502e-05	0.0	0.0
-3.666986752377502e-05	0.0	0.0
-3.594741754693176e-05	0.0	0.0
-3.594741754693176e-05	0.0	0.0
-3.52249675700885e-05	0.0	0.0
-3.666986752377502e-05	0.0	0.0
-3.811476747746156e-05	0.0	0.0
-4.028211740799136e-05	0.0	0.0
-4.2449467338521166e-05	0.0	0.0
-4.4616817269050965e-05	0.0	0.0
-4.4616817269050965e-05	0.0	0.0
-4.533926724589423e-05	0.0	0.0
-4.60617172227375e-05	0.0	0.0
-4.678416719958077e-05	0.0	0.0
-4.9673967106953836e-05	0.0	0.0
-5.184131703748364e-05	0.0	0.0
-5.545356692169997e-05	0.0	0.0
-5.9065816805916304e-05	0.0	0.0
-6.123316673644612e-05	0.0	0.0
-6.267806669013264e-05	0.0	0.0
-6.340051666697591e-05	0.0	0.0
-6.412296664381918e-05	0.0	0.0
-6.484541662066244e-05	0.0	0.0
-6.484541662066244e-05	0.0	0.0
-6.629031657434897e-05	0.0	0.0
-6.701276655119225e-05	0.0	0.0
-6.701276655119225e-05	0.0	0.0
-6.629031657434897e-05	0.0	0.0
-6.556786659750571e-05	0.0	0.0
-6.484541662066244e-05	0.0	0.0
-6.484541662066244e-05	0.0	0.0
-6.629031657434897e-05	0.0	0.0
-6.773521652803552e-05	0.0	0.0
-7.062501643540859e-05	0.0	0.0
-7.134746641225184e-05	0.0	0.0
-7.279236636593839e-05	0.0	0.0
-7.351481634278165e-05	0.0	0.0
-7.279236636593839e-05	0.0	0.0
-7.279236636593839e-05	0.0	0.0
-7.351481634278165e-05	0.0	0.0
-7.640461625015472e-05	0.0	0.0
-8.073931611121433e-05	0.0	0.0
-8.507401597227392e-05	0.0	0.0
-8.868626585649026e-05	0.0	0.0
-9.085361578702005e-05	0.0	0.0
-9.013116581017678e-05	0.0	0.0
-8.651891592596047e-05	0.0	0.0
-8.362911601858739e-05	0.0	0.0
-8.001686613437105e-05	0.0	0.0
-7.784951620384126e-05	0.0	0.0
-7.784951620384126e-05	0.0	0.0
-7.857196618068452e-05	0.0	0.0
-7.92944161575278e-05	0.0	0.0
-8.001686613437105e-05	0.0	0.0
-7.92944161575278e-05	0.0	0.0
-8.073931611121433e-05	0.0	0.0
-8.218421606490086e-05	0.0	0.0
-8.651891592596047e-05	0.0	0.0
-9.302096571754986e-05	0.0	0.0
-0.00010385771537019886	0.0	0.0
-0.00011541691499969115	0.0	0.0
-0.0001269761146291834	0.0	0.0
-0.00013636796432814588	0.0	0.0
-0.00014214756414289203	0.0	0.0
-0.0001428700141197353	0.0	0.0
-0.00014142511416604875	0.0	0.0
-0.00013709041430498916	0.0	0.0
-0.000131310814490243	0.0	0.0
-0.00012480876469865362	0.0	0.0
-0.00011758426493022094	0.0	0.0
-0.000109637315184945	0.0	0.0
-9.880056553229599e-05	0.0	0.0
-8.724136590280373e-05	0.0	0.0
-7.423726631962492e-05	0.0	0.0
-6.195561671328938e-05	0.0	0.0
-5.111886706064037e-05	0.0	0.0
-4.2449467338521166e-05	0.0	0.0
-3.739231750061829e-05	0.0	0.0
-3.3780067616401964e-05	0.0	0.0
-3.161271768587216e-05	0.0	0.0
-2.8000467801655824e-05	0.0	0.0
-2.366576794059622e-05	0.0	0.0
-1.7163718149006816e-05	0.0	0.0
-1.0661668357417413e-05	0.0	0.0
-4.159618565828008e-06	0.0	0.0
2.3424312257613957e-06	0.0	0.0
8.122031040507532e-06	0.0	0.0
1.5346530808940203e-05	0.0	0.0
2.329348055421614e-05	0.0	0.0
3.413023020686515e-05	0.0	0.0
4.424452988267089e-05	0.0	0.0
5.5081279535319896e-05	0.0	0.0
6.230577930375256e-05	0.0	0.0
6.519557921112564e-05	0.0	0.0
6.519557921112564e-05	0.0	0.0
6.302822928059583e-05	0.0	0.0
6.302822928059583e-05	0.0	0.0
6.953027907218524e-05	0.0	0.0
8.397927860905057e-05	0.0	0.0
0.00010709767786803512	0.0	0.0
0.00013599567694176583	0.0	0.0
0.00016633857596918302	0.0	0.0
0.00019379167508922718	0.0	0.0
0.0002132978244639954	0.0	0.0
0.00022557947407033095	0.0	0.0
0.00023208152386192032	0.0	0.0
0.00023497132376929338	0.0	0.0
0.00024002847360719625	0.0	0.0
0.0002486978733293155	0.0	0.0
0.0002617019729124943	0.0	0.0
0.0002790407723567327	0.0	0.0
0.00029782447175465766	0.0	0.0
0.00031516327119889605	0.0	0.0
0.000333946970596821	0.0	0.0
0.00035200822001790267	0.0	0.0
0.0003729592693463574	0.0	0.0
0.00039968991848955834	0.0	0.0
0.00043075526749381877	0.0	0.0
0.0004639879664286091	0.0	0.0
0.0004950533154328696	0.0	0.0
0.0005174492647150109	0.0	0.0
0.0005261186644371301	0.0	0.0
0.0005210615145992271	0.0	0.0
0.0005030002651781455	0.0	0.0
0.0004769920660117879	0.0	0.0
0.0004480940669380572	0.0	0.0
0.0004220858677716996	0.0	0.0
0.00040041236846640154	0.0	0.0
0.0003809062190916334	0.0	0.0
0.00036284496967055167	0.0	0.0
0.0003418939203420969	0.0	0.0
0.00031877552108311235	0.0	0.0
0.00029565712182412783	0.0	0.0
0.0002783183223798894	0.0	0.0
0.00027326117254198657	0.0	0.0
0.00028409792219463557	0.0	0.0
0.000312273471291523	0.0	0.0
0.00035489801992527576	0.0	0.0
0.00040330216837377463	0.0	0.0
0.0004517063168222735	0.0	0.0
0.000493608415479183	0.0	0.0
0.0005275635643908165	0.0	0.0
0.0005564615634645472	0.0	0.0
0.0005846371125614347	0.0	0.0
0.000617869811496225	0.0	0.0
0.0006590494601762912	0.0	0.0
0.0007052862586942603	0.0	0.0
0.000752967957165916	0.0	0.0
0.0007955925057996687	0.0	0.0
0.000828825204734459	0.0	0.0
0.0008526660539702868	0.0	0.0
0.0008700048534145252	0.0	0.0
0.0008873436528587637	0.0	0.0
0.0009133518520251212	0.0	0.0
0.0009545315007051875	0.0	0.0
0.0010123274988526488	0.0	0.0
0.0010874622964443486	0.0	0.0
0.001174878743642384	0.0	0.0
0.001269519690608852	0.0	0.0
0.0013648830875521631	0.0	0.0
0.0014602464844954745	0.0	0.0
0.0015548874314619424	0.0	0.0
0.0016480834784747239	0.0	0.0
0.0017405570755106622	0.0	0.0
0.0018308633226160704	0.0	0.0
0.001919002219790949	0.0	0.0
0.002002806417104768	0.0	0.0
0.002083720814511214	0.0	0.0
0.00216246786198713	0.0	0.0
0.0022397700095093597	0.0	0.0
0.002317072157031589	0.0	0.0
0.002391484504646446	0.0	0.0
0.002455060102608653	0.0	0.0
0.002500574451149779	0.0	0.0
0.0025208030505013907	0.0	0.0
0.002514301000709801	0.0	0.0
0.002486125451612914	0.0	0.0
0.002451447852724437	0.0	0.0
0.002432664153326512	0.0	0.0
0.0024478356028402207	0.0	0.0
0.0025128561007561143	0.0	0.0
0.0026313378969584104	0.0	0.0
0.002791721791817616	0.0	0.0
0.002972334286028433	0.0	0.0
0.003149334530355033	0.0	0.0
0.003301771475468962	0.0	0.0
0.003418808371717572	0.0	0.0
0.003501890119054547	0.0	0.0
0.003566188166993598	0.0	0.0
0.003631208664909492	0.0	0.0
0.0037128455122927813	0.0	0.0
0.0038161558589813686	0.0	0.0
0.003935360105160508	0.0	0.0
0.004054564351339647	0.0	0.0
0.004153539998167174	0.0	0.0
0.004217838046106225	0.0	0.0
0.00424095644536521	0.0	0.0
0.004235176845550463	0.0	0.0
0.004220727846013598	0.0	0.0
0.004222895195944128	0.0	0.0
0.004260462594739978	0.0	0.0
0.00434498924203064	0.0	0.0
0.004467805738093995	0.0	0.0
0.004611573283485806	0.0	0.0
0.004752451028970243	0.0	0.0
0.0048702103751956955	0.0	0.0
0.004951847222578984	0.0	0.0
0.004998084021096953	0.0	0.0
0.0050183126204485645	0.0	0.0
0.005026982020170684	0.0	0.0
0.005037818769823333	0.0	0.0
0.005058769819151788	0.0	0.0
0.005090557618132891	0.0	0.0
0.0051245127670445255	0.0	0.0
0.005154133216095099	0.0	0.0
0.005171472015539338	0.0	0.0
0.005173639365469868	0.0	0.0
0.0051649699657477476	0.0	0.0
0.005156300566025629	0.0	0.0
0.005154855666071942	0.0	0.0
0.005168582215631964	0.0	0.0
0.005200370014613069	0.0	0.0
0.005246606813131037	0.0	0.0
0.005302957911324812	0.0	0.0
0.005367255959263863	0.0	0.0
0.005436611157040817	0.0	0.0
0.005516803104470419	0.0	0.0
0.005610721601460043	0.0	0.0
0.005725591147778123	0.0	0.0
0.005862856643378344	0.0	0.0
0.006019628288353333	0.0	0.0
0.006187959132957814	0.0	0.0
0.006360624677423356	0.0	0.0
0.006526065722120463	0.0	0.0
0.006679225117211236	0.0	0.0
0.006815768162834614	0.0	0.0
0.006936417308967439	0.0	0.0
0.007047674605401302	0.0	0.0
0.007153152302020419	0.0	0.0
0.007260797348570065	0.0	0.0
0.007374221994934459	0.0	0.0
0.007494148691090441	0.0	0.0
0.0076191325370843265	0.0	0.0
0.007747728632962428	0.0	0.0
0.00787415737891	0.0	0.0
0.007994084075065981	0.0	0.0
0.008102451571592471	0.0	0.0
0.00819925986848947	0.0	0.0
0.008283786515780133	0.0	0.0
0.008360366213325518	0.0	0.0
0.00843622346089406	0.0	0.0
0.008518582758254194	0.0	0.0
0.008613946155197505	0.0	0.0
0.008726648351585056	0.0	0.0
0.008855244447463157	0.0	0.0
0.008994677292993908	0.0	0.0
0.009133387688547814	0.0	0.0
0.009259816434495386	0.0	0.0
0.009362404331207129	0.0	0.0
0.009433926878914613	0.0	0.0
0.00947293917766415	0.0	0.0
0.009483053477339956	0.0	0.0
0.009476551427548366	0.0	0.0
0.009467882027826247	0.0	0.0
0.009470049377756777	0.0	0.0
0.009497502476876822	0.0	0.0
0.009556020925001124	0.0	0.0
0.009649216972013907	0.0	0.0
0.009775645717961478	0.0	0.0
0.009928082663075408	0.0	0.0
0.01009641350767989	0.0	0.0
0.010266189252238057	0.0	0.0
0.010425850697120419	0.0	0.0
0.010566005992628013	0.0	0.0
0.010680875538946092	0.0	0.0
0.010774794035935717	0.0	0.0
0.010855708433342163	0.0	0.0
0.010934455480818079	0.0	0.0
0.011020427028062428	0.0	0.0
0.011119402674889955	0.0	0.0
