LNEC Test File eXtractor

File: pink_noise_40Hz_T3mm_0.drv

Created in: 2025-06-16 21:12:37.959647

Number of channels: 3

Name:	PosA1T	PosA3L	PosA2V
Type:	displacement	displacement	displacement
Unit:	m	m	m
No. of Samples:	32768	32768	32768
Time step [s]:	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	163.835	163.835	163.835
Data:
PosA1T	PosA3L	PosA2V
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
4.241413864017163e-07	0.0	0.0
4.241413864017163e-07	0.0	0.0
4.241413864017163e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
4.241413864017163e-07	0.0	0.0
5.316433741066742e-07	0.0	0.0
4.241413864017163e-07	0.0	0.0
4.241413864017163e-07	0.0	0.0
5.316433741066742e-07	0.0	0.0
4.241413864017163e-07	0.0	0.0
6.391453618116321e-07	0.0	0.0
6.391453618116321e-07	0.0	0.0
5.316433741066742e-07	0.0	0.0
6.391453618116321e-07	0.0	0.0
6.391453618116321e-07	0.0	0.0
5.316433741066742e-07	0.0	0.0
2.0913741099180041e-07	0.0	0.0
6.391453618116321e-07	0.0	0.0
5.316433741066742e-07	0.0	0.0
5.316433741066742e-07	0.0	0.0
5.316433741066742e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
5.316433741066742e-07	0.0	0.0
5.316433741066742e-07	0.0	0.0
2.0913741099180041e-07	0.0	0.0
6.391453618116321e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
7.4664734951659e-07	0.0	0.0
6.391453618116321e-07	0.0	0.0
8.541493372215481e-07	0.0	0.0
1.0163542328684246e-07	0.0	0.0
7.4664734951659e-07	0.0	0.0
6.391453618116321e-07	0.0	0.0
2.0913741099180041e-07	0.0	0.0
6.391453618116321e-07	0.0	0.0
6.391453618116321e-07	0.0	0.0
8.541493372215481e-07	0.0	0.0
8.541493372215481e-07	0.0	0.0
1.0691533126314638e-06	0.0	0.0
6.391453618116321e-07	0.0	0.0
1.3916592757463378e-06	0.0	0.0
1.3916592757463378e-06	0.0	0.0
5.316433741066742e-07	0.0	0.0
2.681683128205833e-06	0.0	0.0
9.616513249265059e-07	0.0	0.0
1.4991612634512957e-06	0.0	0.0
1.4991612634512957e-06	0.0	0.0
2.0913741099180041e-07	0.0	0.0
3.1663939869675834e-07	0.0	0.0
-1.1336855212307343e-07	0.0	0.0
6.391453618116321e-07	0.0	0.0
1.3916592757463378e-06	0.0	0.0
1.176655300336422e-06	0.0	0.0
1.6066632511562537e-06	0.0	0.0
1.176655300336422e-06	0.0	0.0
2.896687103615749e-06	0.0	0.0
1.6066632511562537e-06	0.0	0.0
2.896687103615749e-06	0.0	0.0
3.0041890913207073e-06	0.0	0.0
1.6066632511562537e-06	0.0	0.0
2.3591771650909593e-06	0.0	0.0
2.4666791527959173e-06	0.0	0.0
2.681683128205833e-06	0.0	0.0
2.681683128205833e-06	0.0	0.0
2.3591771650909593e-06	0.0	0.0
2.681683128205833e-06	0.0	0.0
3.756703005255413e-06	0.0	0.0
3.2191930667306227e-06	0.0	0.0
2.574181140500875e-06	0.0	0.0
4.241413864017163e-07	0.0	0.0
2.251675177386001e-06	0.0	0.0
1.176655300336422e-06	0.0	0.0
7.4664734951659e-07	0.0	0.0
8.541493372215481e-07	0.0	0.0
2.789185115910791e-06	0.0	0.0
3.864204992960371e-06	0.0	0.0
5.0467268577149075e-06	0.0	0.0
4.186710956075244e-06	0.0	0.0
4.294212943780202e-06	0.0	0.0
2.896687103615749e-06	0.0	0.0
3.971706980665329e-06	0.0	0.0
4.294212943780202e-06	0.0	0.0
4.186710956075244e-06	0.0	0.0
1.9291692142711276e-06	0.0	0.0
2.896687103615749e-06	0.0	0.0
3.3266950544355807e-06	0.0	0.0
2.789185115910791e-06	0.0	0.0
1.4991612634512957e-06	0.0	0.0
1.7141652388612116e-06	0.0	0.0
3.3266950544355807e-06	0.0	0.0
4.616718906895076e-06	0.0	0.0
4.186710956075244e-06	0.0	0.0
2.251675177386001e-06	0.0	0.0
1.2841572880413799e-06	0.0	0.0
9.616513249265059e-07	0.0	0.0
2.4666791527959173e-06	0.0	0.0
4.616718906895076e-06	0.0	0.0
4.40171493148516e-06	0.0	0.0
4.93922487000995e-06	0.0	0.0
6.336750710174403e-06	0.0	0.0
5.691738783944656e-06	0.0	0.0
4.294212943780202e-06	0.0	0.0
6.551754685584319e-06	0.0	0.0
7.0892646241091085e-06	0.0	0.0
4.724220894600034e-06	0.0	0.0
4.40171493148516e-06	0.0	0.0
9.239304378208267e-06	0.0	0.0
5.691738783944656e-06	0.0	0.0
3.5416990298454965e-06	0.0	0.0
8.271786488863645e-06	0.0	0.0
9.561810341323142e-06	0.0	0.0
8.271786488863645e-06	0.0	0.0
8.05678251345373e-06	0.0	0.0
3.756703005255413e-06	0.0	0.0
3.2191930667306227e-06	0.0	0.0
4.186710956075244e-06	0.0	0.0
7.4664734951659e-07	0.0	0.0
1.3916592757463378e-06	0.0	0.0
-3.0159222201569378e-06	0.0	0.0
8.541493372215481e-07	0.0	0.0
8.541493372215481e-07	0.0	0.0
-2.2087053982803137e-07	0.0	0.0
-1.5108943922875268e-06	0.0	0.0
3.6492010175504544e-06	0.0	0.0
7.841778538043815e-06	0.0	0.0
3.5416990298454965e-06	0.0	0.0
6.659256673289278e-06	0.0	0.0
5.0467268577149075e-06	0.0	0.0
3.434197042140539e-06	0.0	0.0
6.336750710174403e-06	0.0	0.0
2.251675177386001e-06	0.0	0.0
-6.508784906478632e-07	0.0	0.0
9.616513249265059e-07	0.0	0.0
3.971706980665329e-06	0.0	0.0
5.261730833124823e-06	0.0	0.0
2.0366712019760856e-06	0.0	0.0
2.896687103615749e-06	0.0	0.0
1.176655300336422e-06	0.0	0.0
1.6066632511562537e-06	0.0	0.0
-2.4784122816321486e-06	0.0	0.0
5.316433741066742e-07	0.0	0.0
-1.5108943922875268e-06	0.0	0.0
3.434197042140539e-06	0.0	0.0
-5.058459986551139e-06	0.0	0.0
-5.433765029429053e-07	0.0	0.0
-6.025977875895761e-06	0.0	0.0
-3.983440109501559e-06	0.0	0.0
-2.3709102939271902e-06	0.0	0.0
-7.853511666880044e-06	0.0	0.0
-9.143535519339541e-06	0.0	0.0
-3.7684361340916437e-06	0.0	0.0
-9.73384453762737e-07	0.0	0.0
-7.583804783528211e-07	0.0	0.0
-2.0484043308123164e-06	0.0	0.0
-3.7684361340916437e-06	0.0	0.0
-5.3809659496660125e-06	0.0	0.0
1.9291692142711276e-06	0.0	0.0
-1.295890416877611e-06	0.0	0.0
-1.9409023431073585e-06	0.0	0.0
1.0691533126314638e-06	0.0	0.0
-2.0484043308123164e-06	0.0	0.0
-1.9409023431073585e-06	0.0	0.0
-4.735954023436265e-06	0.0	0.0
-1.295890416877611e-06	0.0	0.0
3.434197042140539e-06	0.0	0.0
2.896687103615749e-06	0.0	0.0
7.734276550338857e-06	0.0	0.0
3.0041890913207073e-06	0.0	0.0
7.304268599519025e-06	0.0	0.0
1.4991612634512957e-06	0.0	0.0
-3.7684361340916437e-06	0.0	0.0
3.3266950544355807e-06	0.0	0.0
