time    PosT    PosL    PosV    accT    accL    accV
0.000    -0.00000    0.00000    0.00000    0.18894    0.00000    0.00000
0.005    0.00000    0.00000    0.00000    0.18894    0.00000    0.00000
0.010    0.00001    0.00000    0.00000    0.18044    0.00000    0.00000
0.015    0.00002    0.00000    0.00000    0.14303    0.00000    0.00000
0.020    0.00003    0.00000    0.00000    0.10713    0.00000    0.00000
0.025    0.00005    0.00000    0.00000    0.07538    0.00000    0.00000
0.030    0.00007    0.00000    0.00000    0.04786    0.00000    0.00000
0.035    0.00009    0.00000    0.00000    0.02435    0.00000    0.00000
0.040    0.00011    0.00000    0.00000    0.00457    0.00000    0.00000
0.045    0.00013    0.00000    0.00000    -0.01177    0.00000    0.00000
0.050    0.00015    0.00000    0.00000    -0.02496    0.00000    0.00000
0.055    0.00017    0.00000    0.00000    -0.03533    0.00000    0.00000
0.060    0.00019    0.00000    0.00000    -0.04317    0.00000    0.00000
0.065    0.00021    0.00000    0.00000    -0.04880    0.00000    0.00000
0.070    0.00022    0.00000    0.00000    -0.05251    0.00000    0.00000
0.075    0.00024    0.00000    0.00000    -0.05456    0.00000    0.00000
0.080    0.00025    0.00000    0.00000    -0.05521    0.00000    0.00000
0.085    0.00027    0.00000    0.00000    -0.05470    0.00000    0.00000
0.090    0.00028    0.00000    0.00000    -0.05326    0.00000    0.00000
0.095    0.00029    0.00000    0.00000    -0.04562    0.00000    0.00000
0.100    0.00030    0.00000    0.00000    -0.00313    0.00000    0.00000
0.105    0.00030    0.00000    0.00000    0.01975    0.00000    0.00000
0.110    0.00031    0.00000    0.00000    0.00789    0.00000    0.00000
0.115    0.00032    0.00000    0.00000    -0.03538    0.00000    0.00000
0.120    0.00033    0.00000    0.00000    -0.01771    0.00000    0.00000
0.125    0.00034    0.00000    0.00000    0.03976    0.00000    0.00000
0.130    0.00035    0.00000    0.00000    0.01745    0.00000    0.00000
0.135    0.00036    0.00000    0.00000    -0.01168    0.00000    0.00000
0.140    0.00037    0.00000    0.00000    0.01557    0.00000    0.00000
0.145    0.00038    0.00000    0.00000    0.00427    0.00000    0.00000
0.150    0.00039    0.00000    0.00000    0.05314    0.00000    0.00000
0.155    0.00040    0.00000    0.00000    0.08405    0.00000    0.00000
0.160    0.00041    0.00000    0.00000    0.03147    0.00000    0.00000
0.165    0.00042    0.00000    0.00000    0.02843    0.00000    0.00000
0.170    0.00044    0.00000    0.00000    0.03210    0.00000    0.00000
0.175    0.00045    0.00000    0.00000    -0.03858    0.00000    0.00000
0.180    0.00047    0.00000    0.00000    -0.17124    0.00000    0.00000
0.185    0.00048    0.00000    0.00000    -0.08028    0.00000    0.00000
0.190    0.00049    0.00000    0.00000    -0.00975    0.00000    0.00000
0.195    0.00049    0.00000    0.00000    -0.02809    0.00000    0.00000
0.200    0.00050    0.00000    0.00000    -0.04163    0.00000    0.00000
0.205    0.00051    0.00000    0.00000    -0.10946    0.00000    0.00000
0.210    0.00051    0.00000    0.00000    -0.06806    0.00000    0.00000
0.215    0.00051    0.00000    0.00000    -0.02358    0.00000    0.00000
0.220    0.00051    0.00000    0.00000    -0.11353    0.00000    0.00000
0.225    0.00051    0.00000    0.00000    -0.03034    0.00000    0.00000
0.230    0.00051    0.00000    0.00000    -0.02007    0.00000    0.00000
0.235    0.00051    0.00000    0.00000    0.07199    0.00000    0.00000
0.240    0.00051    0.00000    0.00000    0.13500    0.00000    0.00000
0.245    0.00051    0.00000    0.00000    0.13879    0.00000    0.00000
0.250    0.00051    0.00000    0.00000    -0.08786    0.00000    0.00000
0.255    0.00052    0.00000    0.00000    -0.02862    0.00000    0.00000
0.260    0.00052    0.00000    0.00000    0.05804    0.00000    0.00000
0.265    0.00052    0.00000    0.00000    -0.10460    0.00000    0.00000
0.270    0.00053    0.00000    0.00000    -0.04045    0.00000    0.00000
0.275    0.00053    0.00000    0.00000    0.07668    0.00000    0.00000
0.280    0.00053    0.00000    0.00000    0.15692    0.00000    0.00000
0.285    0.00054    0.00000    0.00000    0.19396    0.00000    0.00000
0.290    0.00055    0.00000    0.00000    0.21880    0.00000    0.00000
0.295    0.00056    0.00000    0.00000    0.10060    0.00000    0.00000
0.300    0.00058    0.00000    0.00000    0.24700    0.00000    0.00000
0.305    0.00061    0.00000    0.00000    0.32677    0.00000    0.00000
0.310    0.00064    0.00000    0.00000    0.05180    0.00000    0.00000
0.315    0.00068    0.00000    0.00000    0.51811    0.00000    0.00000
0.320    0.00072    0.00000    0.00000    0.30809    0.00000    0.00000
0.325    0.00078    0.00000    0.00000    0.03077    0.00000    0.00000
0.330    0.00084    0.00000    0.00000    0.00675    0.00000    0.00000
0.335    0.00089    0.00000    0.00000    -0.50636    0.00000    0.00000
0.340    0.00094    0.00000    0.00000    -0.77273    0.00000    0.00000
0.345    0.00096    0.00000    0.00000    -0.79551    0.00000    0.00000
0.350    0.00097    0.00000    0.00000    -0.44850    0.00000    0.00000
0.355    0.00096    0.00000    0.00000    0.09666    0.00000    0.00000
