time_s	DispT_m
0.000000000000000000e+00	1.687220862591420022e-04
5.000000000000000104e-03	2.582140147907146309e-05
1.000000000000000021e-02	-1.528044544960167320e-04
1.499999999999999944e-02	-2.171097626470484842e-04
2.000000000000000042e-02	-1.063617319424937907e-04
2.500000000000000139e-02	7.940915827159791991e-05
2.999999999999999889e-02	1.830121547371490673e-04
3.500000000000000333e-02	1.151343294666155555e-04
4.000000000000000083e-02	-5.277397514996733731e-05
4.499999999999999833e-02	-1.599494887350202781e-04
5.000000000000000278e-02	-1.135067661814973233e-04
5.500000000000000028e-02	2.224888435956970021e-05
5.999999999999999778e-02	1.187068465861173286e-04
6.500000000000000222e-02	9.727174386910674450e-05
7.000000000000000666e-02	-9.903769715946175918e-06
7.499999999999999722e-02	-9.921669770349027175e-05
8.000000000000000167e-02	-9.564418058398851225e-05
8.500000000000000611e-02	-6.331252596444411339e-06
8.999999999999999667e-02	6.154657267408910888e-05
9.500000000000000111e-02	5.797405555458733583e-05
1.000000000000000056e-01	-1.347628683544793880e-05
1.049999999999999961e-01	-7.778159498647968767e-05
1.100000000000000006e-01	-7.778159498647968767e-05
1.150000000000000050e-01	-2.419383819395323084e-05
1.199999999999999956e-01	3.653895283757675852e-05
1.250000000000000000e-01	5.440153843508556956e-05
1.300000000000000044e-01	2.582140147907146309e-05
1.350000000000000089e-01	-4.562894091096381154e-05
1.400000000000000133e-01	-1.099342490619955638e-04
1.449999999999999900e-01	-1.385143860180096669e-04
1.499999999999999944e-01	-1.063617319424937907e-04
1.549999999999999989e-01	-2.419383819395323084e-05
1.600000000000000033e-01	7.226412403259440092e-05
1.650000000000000078e-01	1.079892952276120230e-04
1.700000000000000122e-01	3.653895283757675852e-05
1.750000000000000167e-01	-9.207166346448673920e-05
1.799999999999999933e-01	-1.778120743325290755e-04
1.849999999999999978e-01	-1.385143860180096669e-04
1.900000000000000022e-01	1.153133300106440817e-05
1.950000000000000067e-01	1.472869835421314452e-04
2.000000000000000111e-01	1.365694321836261396e-04
2.050000000000000155e-01	-3.848390667196028577e-05
2.099999999999999922e-01	-2.313998311250555222e-04
2.149999999999999967e-01	-2.671250023200731714e-04
2.200000000000000011e-01	-1.135067661814973233e-04
2.250000000000000056e-01	1.008442609886085040e-04
2.300000000000000100e-01	1.865846718566508539e-04
2.350000000000000144e-01	6.511908979359086838e-05
2.399999999999999911e-01	-1.456594202570132130e-04
2.449999999999999956e-01	-2.528349338420661334e-04
2.500000000000000000e-01	-1.492319373765149725e-04
2.550000000000000044e-01	4.725650419608204379e-05
2.600000000000000089e-01	1.508595006616332047e-04
2.650000000000000133e-01	4.368398707658028429e-05
2.700000000000000178e-01	-1.670945229740237699e-04
2.750000000000000222e-01	-2.849875879175820231e-04
2.800000000000000266e-01	-1.992471770495396596e-04
2.850000000000000311e-01	1.153133300106440817e-05
2.899999999999999800e-01	1.687220862591420022e-04
2.949999999999999845e-01	1.365694321836261396e-04
2.999999999999999889e-01	-3.491138955245852627e-05
3.049999999999999933e-01	-1.849571085715326216e-04
3.099999999999999978e-01	-1.956746599300378730e-04
3.150000000000000022e-01	-9.921669770349027175e-05
3.200000000000000067e-01	-9.903769715946175918e-06
3.250000000000000111e-01	-1.704880395494970507e-05
3.300000000000000155e-01	-7.063656074747616867e-05
3.350000000000000200e-01	-9.207166346448673920e-05
3.400000000000000244e-01	-3.133887243295676000e-05
3.450000000000000289e-01	4.011146995707851802e-05
3.500000000000000333e-01	2.224888435956970021e-05
3.549999999999999822e-01	-8.135411210598144716e-05
3.599999999999999867e-01	-1.885296256910343811e-04
3.649999999999999911e-01	-1.921021428105361406e-04
3.699999999999999956e-01	-7.063656074747616867e-05
3.750000000000000000e-01	6.869160691309262787e-05
3.800000000000000044e-01	1.187068465861173286e-04
3.850000000000000089e-01	4.011146995707851802e-05
3.900000000000000133e-01	-9.207166346448673920e-05
3.950000000000000178e-01	-1.742395572130273160e-04
4.000000000000000222e-01	-1.670945229740237699e-04
4.050000000000000266e-01	-1.135067661814973233e-04
4.100000000000000311e-01	-4.562894091096381154e-05
4.150000000000000355e-01	7.958815881562645282e-06
4.199999999999999845e-01	5.797405555458733583e-05
4.249999999999999889e-01	7.583664115209614687e-05
4.299999999999999933e-01	1.153133300106440817e-05
4.349999999999999978e-01	-1.313693517790061479e-04
4.400000000000000022e-01	-2.635524852005714119e-04
4.450000000000000067e-01	-2.313998311250555222e-04
4.500000000000000111e-01	-3.491138955245852627e-05
4.550000000000000155e-01	2.044472574541596514e-04
4.600000000000000200e-01	2.651800484856896441e-04
4.650000000000000244e-01	6.511908979359086838e-05
4.700000000000000289e-01	-2.635524852005714119e-04
4.750000000000000333e-01	-4.135982042196455276e-04
4.799999999999999822e-01	-2.278273140055537627e-04
4.849999999999999867e-01	1.508595006616332047e-04
4.899999999999999911e-01	3.866456305487496296e-04
4.949999999999999956e-01	2.544624971271843114e-04
5.000000000000000000e-01	-1.420869031375114264e-04
5.050000000000000044e-01	-4.528958925341649362e-04
5.100000000000000089e-01	-3.850180672636313432e-04
5.150000000000000133e-01	4.386298762060880703e-06
5.200000000000000178e-01	3.509204593537319805e-04
5.250000000000000222e-01	3.366303908757249425e-04
5.300000000000000266e-01	-2.419383819395323084e-05
5.350000000000000311e-01	-3.885905843831331569e-04
5.400000000000000355e-01	-4.171707213391472329e-04
5.450000000000000400e-01	-8.492662922548322021e-05
5.500000000000000444e-01	2.830426340831984958e-04
5.550000000000000488e-01	3.259128395172196098e-04
5.600000000000000533e-01	2.224888435956970021e-05
5.650000000000000577e-01	-3.421478618296102292e-04
5.700000000000000622e-01	-4.100256871001437139e-04
5.750000000000000666e-01	-1.277968346595043884e-04
5.799999999999999600e-01	2.187373259321667165e-04
5.849999999999999645e-01	2.901876683222020148e-04
5.899999999999999689e-01	3.296643571807499225e-05
5.949999999999999734e-01	-3.028501735150908205e-04
5.999999999999999778e-01	-3.885905843831331569e-04
6.049999999999999822e-01	-1.456594202570132130e-04
6.099999999999999867e-01	1.794396376176473078e-04
6.149999999999999911e-01	2.651800484856896441e-04
6.199999999999999956e-01	4.011146995707851802e-05
6.250000000000000000e-01	-2.706975194395749309e-04
6.300000000000000044e-01	-3.671554816661225457e-04
6.350000000000000089e-01	-1.742395572130273160e-04
6.400000000000000133e-01	1.115618123471137960e-04
6.450000000000000178e-01	2.008747403346578919e-04
6.500000000000000222e-01	2.939391859857322937e-05
6.550000000000000266e-01	-2.313998311250555222e-04
6.600000000000000311e-01	-3.207127591125996180e-04
6.650000000000000355e-01	-1.742395572130273160e-04
6.700000000000000400e-01	5.082902131558381006e-05
6.750000000000000444e-01	1.365694321836261396e-04
6.800000000000000488e-01	-2.758735476942647184e-06
6.850000000000000533e-01	-1.885296256910343811e-04
6.900000000000000577e-01	-2.492624167225643739e-04
6.950000000000000622e-01	-1.242243175400026289e-04
7.000000000000000666e-01	4.368398707658028429e-05
7.049999999999999600e-01	8.655419251060145246e-05
7.099999999999999645e-01	-5.277397514996733731e-05
7.149999999999999689e-01	-2.206822797665502437e-04
7.199999999999999734e-01	-2.635524852005714119e-04
7.249999999999999778e-01	-1.420869031375114264e-04
7.299999999999999822e-01	1.867636724006793732e-05
7.349999999999999867e-01	6.154657267408910888e-05
7.399999999999999911e-01	-3.848390667196028577e-05
7.449999999999999956e-01	-1.813845914520308350e-04
7.500000000000000000e-01	-2.349723482445572817e-04
7.550000000000000044e-01	-1.492319373765149725e-04
7.600000000000000089e-01	-2.776635531345499373e-05
7.650000000000000133e-01	1.867636724006793732e-05
7.700000000000000178e-01	-4.205642379146205204e-05
7.750000000000000222e-01	-1.456594202570132130e-04
7.800000000000000266e-01	-1.813845914520308350e-04
7.850000000000000311e-01	-1.349418688985079074e-04
7.900000000000000355e-01	-5.991900938897086985e-05
7.950000000000000400e-01	-2.776635531345499373e-05
8.000000000000000444e-01	-5.634649226946910358e-05
8.050000000000000488e-01	-1.135067661814973233e-04
8.100000000000000533e-01	-1.420869031375114264e-04
8.150000000000000577e-01	-1.277968346595043884e-04
8.200000000000000622e-01	-1.027892148229920448e-04
8.250000000000000666e-01	-9.207166346448673920e-05
8.300000000000000711e-01	-9.921669770349027175e-05
8.349999999999999645e-01	-1.063617319424937907e-04
8.399999999999999689e-01	-9.564418058398851225e-05
8.449999999999999734e-01	-9.564418058398851225e-05
8.499999999999999778e-01	-1.063617319424937907e-04
8.549999999999999822e-01	-1.277968346595043884e-04
8.599999999999999867e-01	-1.349418688985079074e-04
8.649999999999999911e-01	-1.135067661814973233e-04
8.699999999999999956e-01	-8.849914634498499326e-05
8.750000000000000000e-01	-8.135411210598144716e-05
8.800000000000000044e-01	-1.063617319424937907e-04
8.850000000000000089e-01	-1.456594202570132130e-04
8.900000000000000133e-01	-1.492319373765149725e-04
8.950000000000000178e-01	-1.242243175400026289e-04
9.000000000000000222e-01	-8.492662922548322021e-05
9.050000000000000266e-01	-7.778159498647968767e-05
9.100000000000000311e-01	-9.921669770349027175e-05
9.150000000000000355e-01	-1.385143860180096669e-04
9.200000000000000400e-01	-1.349418688985079074e-04
9.250000000000000444e-01	-1.063617319424937907e-04
9.300000000000000488e-01	-7.420907786697791462e-05
9.350000000000000533e-01	-7.778159498647968767e-05
9.400000000000000577e-01	-1.206518004205008558e-04
9.450000000000000622e-01	-1.599494887350202781e-04
9.500000000000000666e-01	-1.528044544960167320e-04
9.550000000000000711e-01	-9.564418058398851225e-05
9.599999999999999645e-01	-4.205642379146205204e-05
9.649999999999999689e-01	-3.491138955245852627e-05
9.699999999999999734e-01	-9.564418058398851225e-05
9.749999999999999778e-01	-1.670945229740237699e-04
9.799999999999999822e-01	-1.921021428105361406e-04
9.849999999999999867e-01	-1.420869031375114264e-04
9.899999999999999911e-01	-5.634649226946910358e-05
9.949999999999999956e-01	-2.776635531345499373e-05
1.000000000000000000e+00	-7.778159498647968767e-05
1.005000000000000115e+00	-1.670945229740237699e-04
1.010000000000000009e+00	-2.171097626470484842e-04
1.015000000000000124e+00	-1.813845914520308350e-04
1.020000000000000018e+00	-8.492662922548322021e-05
1.024999999999999911e+00	-1.347628683544793880e-05
1.030000000000000027e+00	-3.133887243295676000e-05
1.034999999999999920e+00	-1.277968346595043884e-04
1.040000000000000036e+00	-2.099647284080449652e-04
1.044999999999999929e+00	-2.099647284080449652e-04
1.050000000000000044e+00	-1.277968346595043884e-04
1.054999999999999938e+00	-3.133887243295676000e-05
1.060000000000000053e+00	-9.903769715946175918e-06
1.064999999999999947e+00	-8.492662922548322021e-05
1.070000000000000062e+00	-1.885296256910343811e-04
1.074999999999999956e+00	-2.171097626470484842e-04
