time_s	DispT_m	AccT_m_per_s2
0.000000000000000000e+00	2.397958261978236079e-07	-1.524411995930554719e-05
5.000000000000000104e-03	2.397958261978236079e-07	-3.502263501703094738e-05
1.000000000000000021e-02	2.397958261978236079e-07	-5.480115007475635266e-05
1.499999999999999944e-02	2.397958261978236079e-07	-5.480115007475635266e-05
2.000000000000000042e-02	2.397958261978236079e-07	-3.502263501703094738e-05
2.500000000000000139e-02	2.397958261978236079e-07	-1.524411995930554719e-05
2.999999999999999889e-02	2.397958261978236079e-07	-3.502263501703094738e-05
3.500000000000000333e-02	2.397958261978236079e-07	-5.480115007475635266e-05
4.000000000000000083e-02	2.397958261978236079e-07	-7.457966513248175794e-05
4.499999999999999833e-02	2.397958261978236079e-07	-5.480115007475635266e-05
5.000000000000000278e-02	2.397958261978236079e-07	-1.524411995930554719e-05
5.500000000000000028e-02	-3.534941744280689825e-07	-1.524411995930554719e-05
5.999999999999999778e-02	-3.534941744280689825e-07	-3.502263501703094738e-05
6.500000000000000222e-02	-3.534941744280689825e-07	-5.480115007475635266e-05
7.000000000000000666e-02	-3.534941744280689825e-07	-7.457966513248175794e-05
7.499999999999999722e-02	-3.534941744280689825e-07	-5.480115007475635266e-05
8.000000000000000167e-02	-3.534941744280689825e-07	-1.524411995930554719e-05
8.500000000000000611e-02	-3.534941744280689825e-07	-1.524411995930554719e-05
8.999999999999999667e-02	-3.534941744280689825e-07	-3.502263501703094738e-05
9.500000000000000111e-02	-3.534941744280689825e-07	-5.480115007475635266e-05
1.000000000000000056e-01	-3.534941744280689825e-07	-5.480115007475635266e-05
1.049999999999999961e-01	-3.534941744280689825e-07	-5.480115007475635266e-05
1.100000000000000006e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.150000000000000050e-01	-3.534941744280689825e-07	-1.524411995930554719e-05
1.199999999999999956e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.250000000000000000e-01	-3.534941744280689825e-07	-5.480115007475635266e-05
1.300000000000000044e-01	-3.534941744280689825e-07	-5.480115007475635266e-05
1.350000000000000089e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.400000000000000133e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.449999999999999900e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.499999999999999944e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.549999999999999989e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.600000000000000033e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.650000000000000078e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.700000000000000122e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.750000000000000167e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.799999999999999933e-01	-3.534941744280689825e-07	-3.502263501703094738e-05
1.849999999999999978e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
1.900000000000000022e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
1.950000000000000067e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.000000000000000111e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.050000000000000155e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.099999999999999922e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.149999999999999967e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.200000000000000011e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.250000000000000056e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.300000000000000100e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.350000000000000144e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.399999999999999911e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.449999999999999956e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.500000000000000000e-01	-9.467841750539615730e-07	-3.502263501703094738e-05
2.550000000000000044e-01	-1.540074175679854164e-06	-3.502263501703094738e-05
2.600000000000000089e-01	-1.540074175679854164e-06	-3.502263501703094738e-05
2.650000000000000133e-01	-1.540074175679854164e-06	-3.502263501703094738e-05
2.700000000000000178e-01	-1.540074175679854164e-06	-3.502263501703094738e-05
2.750000000000000222e-01	-1.540074175679854164e-06	-3.502263501703094738e-05
2.800000000000000266e-01	-1.540074175679854164e-06	-3.502263501703094738e-05
