     time_s        DispT_m     AccT_m_per_s2 
   0.000000e+00    2.397958e-07   -1.524412e-05
   5.000000e-03    2.397958e-07   -3.502264e-05
   1.000000e-02    2.397958e-07   -5.480115e-05
   1.500000e-02    2.397958e-07   -5.480115e-05
   2.000000e-02    2.397958e-07   -3.502264e-05
   2.500000e-02    2.397958e-07   -1.524412e-05
   3.000000e-02    2.397958e-07   -3.502264e-05
   3.500000e-02    2.397958e-07   -5.480115e-05
   4.000000e-02    2.397958e-07   -7.457967e-05
   4.500000e-02    2.397958e-07   -5.480115e-05
   5.000000e-02    2.397958e-07   -1.524412e-05
   5.500000e-02   -3.534942e-07   -1.524412e-05
   6.000000e-02   -3.534942e-07   -3.502264e-05
   6.500000e-02   -3.534942e-07   -5.480115e-05
   7.000000e-02   -3.534942e-07   -7.457967e-05
   7.500000e-02   -3.534942e-07   -5.480115e-05
   8.000000e-02   -3.534942e-07   -1.524412e-05
   8.500000e-02   -3.534942e-07   -1.524412e-05
   9.000000e-02   -3.534942e-07   -3.502264e-05
   9.500000e-02   -3.534942e-07   -5.480115e-05
   1.000000e-01   -3.534942e-07   -5.480115e-05
   1.050000e-01   -3.534942e-07   -5.480115e-05
   1.100000e-01   -3.534942e-07   -3.502264e-05
   1.150000e-01   -3.534942e-07   -1.524412e-05
   1.200000e-01   -3.534942e-07   -3.502264e-05
   1.250000e-01   -3.534942e-07   -5.480115e-05
   1.300000e-01   -3.534942e-07   -5.480115e-05
   1.350000e-01   -3.534942e-07   -3.502264e-05
   1.400000e-01   -3.534942e-07   -3.502264e-05
   1.450000e-01   -3.534942e-07   -3.502264e-05
   1.500000e-01   -3.534942e-07   -3.502264e-05
   1.550000e-01   -3.534942e-07   -3.502264e-05
   1.600000e-01   -3.534942e-07   -3.502264e-05
   1.650000e-01   -3.534942e-07   -3.502264e-05
   1.700000e-01   -3.534942e-07   -3.502264e-05
   1.750000e-01   -3.534942e-07   -3.502264e-05
   1.800000e-01   -3.534942e-07   -3.502264e-05
   1.850000e-01   -9.467842e-07   -3.502264e-05
   1.900000e-01   -9.467842e-07   -3.502264e-05
   1.950000e-01   -9.467842e-07   -3.502264e-05
   2.000000e-01   -9.467842e-07   -3.502264e-05
   2.050000e-01   -9.467842e-07   -3.502264e-05
   2.100000e-01   -9.467842e-07   -3.502264e-05
   2.150000e-01   -9.467842e-07   -3.502264e-05
   2.200000e-01   -9.467842e-07   -3.502264e-05
   2.250000e-01   -9.467842e-07   -3.502264e-05
   2.300000e-01   -9.467842e-07   -3.502264e-05
   2.350000e-01   -9.467842e-07   -3.502264e-05
   2.400000e-01   -9.467842e-07   -3.502264e-05
   2.450000e-01   -9.467842e-07   -3.502264e-05
   2.500000e-01   -9.467842e-07   -3.502264e-05
   2.550000e-01   -1.540074e-06   -3.502264e-05
   2.600000e-01   -1.540074e-06   -3.502264e-05
   2.650000e-01   -1.540074e-06   -3.502264e-05
   2.700000e-01   -1.540074e-06   -3.502264e-05
   2.750000e-01   -1.540074e-06   -3.502264e-05
   2.800000e-01   -1.540074e-06   -3.502264e-05
   2.850000e-01   -1.540074e-06   -3.502264e-05
   2.900000e-01   -1.540074e-06   -3.502264e-05
   2.950000e-01   -1.540074e-06   -3.502264e-05
   3.000000e-01   -1.540074e-06   -3.502264e-05
   3.050000e-01   -1.540074e-06   -3.502264e-05
   3.100000e-01   -1.540074e-06   -3.502264e-05
   3.150000e-01   -2.133364e-06   -3.502264e-05
   3.200000e-01   -2.133364e-06   -3.502264e-05
   3.250000e-01   -2.133364e-06   -3.502264e-05
   3.300000e-01   -2.133364e-06   -3.502264e-05
   3.350000e-01   -2.133364e-06   -3.502264e-05
   3.400000e-01   -2.133364e-06   -3.502264e-05
   3.450000e-01   -2.133364e-06   -3.502264e-05
   3.500000e-01   -2.133364e-06   -3.502264e-05
   3.550000e-01   -2.133364e-06   -3.502264e-05
   3.600000e-01   -2.726654e-06   -3.502264e-05
   3.650000e-01   -2.726654e-06   -3.502264e-05
   3.700000e-01   -2.726654e-06   -3.502264e-05
   3.750000e-01   -2.726654e-06   -3.502264e-05
   3.800000e-01   -2.726654e-06   -3.502264e-05
   3.850000e-01   -2.726654e-06   -3.502264e-05
   3.900000e-01   -2.726654e-06   -3.502264e-05
   3.950000e-01   -2.726654e-06   -3.502264e-05
   4.000000e-01   -2.726654e-06   -3.502264e-05
   4.050000e-01   -3.319944e-06   -3.502264e-05
   4.100000e-01   -3.319944e-06   -3.502264e-05
   4.150000e-01   -3.319944e-06   -3.502264e-05
   4.200000e-01   -3.319944e-06   -3.502264e-05
   4.250000e-01   -3.319944e-06   -3.502264e-05
   4.300000e-01   -3.319944e-06   -3.502264e-05
   4.350000e-01   -3.319944e-06   -3.502264e-05
   4.400000e-01   -3.319944e-06   -3.502264e-05
   4.450000e-01   -3.913234e-06   -3.502264e-05
   4.500000e-01   -3.913234e-06   -3.502264e-05
   4.550000e-01   -3.913234e-06   -3.502264e-05
   4.600000e-01   -3.913234e-06   -3.502264e-05
   4.650000e-01   -3.913234e-06   -3.502264e-05
   4.700000e-01   -3.913234e-06   -3.502264e-05
   4.750000e-01   -3.913234e-06   -3.502264e-05
   4.800000e-01   -4.506524e-06   -3.502264e-05
   4.850000e-01   -4.506524e-06   -3.502264e-05
   4.900000e-01   -4.506524e-06   -3.502264e-05
   4.950000e-01   -4.506524e-06   -3.502264e-05
   5.000000e-01   -4.506524e-06   -3.502264e-05
   5.050000e-01   -4.506524e-06   -3.502264e-05
   5.100000e-01   -4.506524e-06   -3.502264e-05
   5.150000e-01   -5.099814e-06   -3.502264e-05
   5.200000e-01   -5.099814e-06   -1.524412e-05
   5.250000e-01   -5.099814e-06   -1.524412e-05
   5.300000e-01   -5.099814e-06   -1.524412e-05
   5.350000e-01   -5.099814e-06   -1.524412e-05
   5.400000e-01   -5.099814e-06   -1.524412e-05
   5.450000e-01   -5.099814e-06   -1.524412e-05
   5.500000e-01   -5.693104e-06   -1.524412e-05
   5.550000e-01   -5.693104e-06   -1.524412e-05
   5.600000e-01   -5.693104e-06   -1.524412e-05
   5.650000e-01   -5.693104e-06   -1.524412e-05
   5.700000e-01   -5.693104e-06   -1.524412e-05
   5.750000e-01   -5.693104e-06   -1.524412e-05
   5.800000e-01   -6.286394e-06   -1.524412e-05
   5.850000e-01   -6.286394e-06   -1.524412e-05
   5.900000e-01   -6.286394e-06   -1.524412e-05
   5.950000e-01   -6.286394e-06   -1.524412e-05
   6.000000e-01   -6.286394e-06   -1.524412e-05
   6.050000e-01   -6.286394e-06   -1.524412e-05
   6.100000e-01   -6.879684e-06   -1.524412e-05
   6.150000e-01   -6.879684e-06   -1.524412e-05
   6.200000e-01   -6.879684e-06   -1.524412e-05
   6.250000e-01   -6.879684e-06   -1.524412e-05
   6.300000e-01   -6.879684e-06   -1.524412e-05
   6.350000e-01   -6.879684e-06   -1.524412e-05
   6.400000e-01   -7.472974e-06   -1.524412e-05
   6.450000e-01   -7.472974e-06   -1.524412e-05
   6.500000e-01   -7.472974e-06   -1.524412e-05
   6.550000e-01   -7.472974e-06   -1.524412e-05
   6.600000e-01   -7.472974e-06   -1.524412e-05
   6.650000e-01   -7.472974e-06   -1.524412e-05
   6.700000e-01   -8.066264e-06   -1.524412e-05
   6.750000e-01   -8.066264e-06   -1.524412e-05
   6.800000e-01   -8.066264e-06   -1.524412e-05
   6.850000e-01   -8.066264e-06   -1.524412e-05
   6.900000e-01   -8.066264e-06   -1.524412e-05
   6.950000e-01   -8.066264e-06   -1.524412e-05
   7.000000e-01   -8.659554e-06   -1.524412e-05
   7.050000e-01   -8.659554e-06   -1.524412e-05
   7.100000e-01   -8.659554e-06   -1.524412e-05
   7.150000e-01   -8.659554e-06   -1.524412e-05
   7.200000e-01   -8.659554e-06   -1.524412e-05
   7.250000e-01   -9.252844e-06   -1.524412e-05
   7.300000e-01   -9.252844e-06   -1.524412e-05
   7.350000e-01   -9.252844e-06   -1.524412e-05
   7.400000e-01   -9.252844e-06   -1.524412e-05
   7.450000e-01   -9.252844e-06   -1.524412e-05
   7.500000e-01   -9.252844e-06   -1.524412e-05
   7.550000e-01   -9.846134e-06   -1.524412e-05
   7.600000e-01   -9.846134e-06   -1.524412e-05
   7.650000e-01   -9.846134e-06   -1.524412e-05
   7.700000e-01   -9.846134e-06   -1.524412e-05
   7.750000e-01   -9.846134e-06   -1.524412e-05
   7.800000e-01   -1.043942e-05   -1.524412e-05
   7.850000e-01   -1.043942e-05   -1.524412e-05
   7.900000e-01   -1.043942e-05   -1.524412e-05
   7.950000e-01   -1.043942e-05   -1.524412e-05
   8.000000e-01   -1.043942e-05   -1.524412e-05
   8.050000e-01   -1.103271e-05   -1.524412e-05
   8.100000e-01   -1.103271e-05   -1.524412e-05
   8.150000e-01   -1.103271e-05   -1.524412e-05
   8.200000e-01   -1.103271e-05   -1.524412e-05
   8.250000e-01   -1.103271e-05   -1.524412e-05
   8.300000e-01   -1.162600e-05   -1.524412e-05
   8.350000e-01   -1.162600e-05   -1.524412e-05
   8.400000e-01   -1.162600e-05   -1.524412e-05
   8.450000e-01   -1.162600e-05   -1.524412e-05
   8.500000e-01   -1.162600e-05   -1.524412e-05
   8.550000e-01   -1.162600e-05   -1.524412e-05
   8.600000e-01   -1.221929e-05   -1.524412e-05
   8.650000e-01   -1.221929e-05    4.534395e-06
   8.700000e-01   -1.221929e-05    4.534395e-06
   8.750000e-01   -1.221929e-05    4.534395e-06
   8.800000e-01   -1.221929e-05    4.534395e-06
   8.850000e-01   -1.281258e-05    4.534395e-06
   8.900000e-01   -1.281258e-05    4.534395e-06
   8.950000e-01   -1.281258e-05    4.534395e-06
   9.000000e-01   -1.281258e-05    4.534395e-06
   9.050000e-01   -1.281258e-05    4.534395e-06
   9.100000e-01   -1.340587e-05    4.534395e-06
   9.150000e-01   -1.340587e-05    4.534395e-06
   9.200000e-01   -1.340587e-05    4.534395e-06
   9.250000e-01   -1.340587e-05    4.534395e-06
   9.300000e-01   -1.340587e-05    4.534395e-06
   9.350000e-01   -1.399916e-05    4.534395e-06
   9.400000e-01   -1.399916e-05    4.534395e-06
   9.450000e-01   -1.399916e-05    4.534395e-06
   9.500000e-01   -1.399916e-05    4.534395e-06
   9.550000e-01   -1.399916e-05    4.534395e-06
   9.600000e-01   -1.459245e-05    4.534395e-06
   9.650000e-01   -1.459245e-05    4.534395e-06
   9.700000e-01   -1.459245e-05    4.534395e-06
   9.750000e-01   -1.459245e-05    4.534395e-06
   9.800000e-01   -1.459245e-05    4.534395e-06
   9.850000e-01   -1.518574e-05    4.534395e-06
   9.900000e-01   -1.518574e-05    4.534395e-06
   9.950000e-01   -1.518574e-05    4.534395e-06
   1.000000e+00   -1.518574e-05    4.534395e-06
   1.005000e+00   -1.518574e-05    4.534395e-06
   1.010000e+00   -1.518574e-05    4.534395e-06
   1.015000e+00   -1.577903e-05    4.534395e-06
   1.020000e+00   -1.577903e-05    4.534395e-06
   1.025000e+00   -1.577903e-05    4.534395e-06
   1.030000e+00   -1.577903e-05    4.534395e-06
   1.035000e+00   -1.577903e-05    4.534395e-06
   1.040000e+00   -1.637232e-05    4.534395e-06
   1.045000e+00   -1.637232e-05    4.534395e-06
   1.050000e+00   -1.637232e-05    4.534395e-06
   1.055000e+00   -1.637232e-05    4.534395e-06
   1.060000e+00   -1.637232e-05    4.534395e-06
   1.065000e+00   -1.696561e-05    4.534395e-06
   1.070000e+00   -1.696561e-05    4.534395e-06
   1.075000e+00   -1.696561e-05    4.534395e-06
   1.080000e+00   -1.696561e-05    4.534395e-06
   1.085000e+00   -1.696561e-05    4.534395e-06
   1.090000e+00   -1.755890e-05    4.534395e-06
   1.095000e+00   -1.755890e-05    4.534395e-06
   1.100000e+00   -1.755890e-05    4.534395e-06
   1.105000e+00   -1.755890e-05    4.534395e-06
   1.110000e+00   -1.755890e-05    2.431291e-05
   1.115000e+00   -1.755890e-05    4.534395e-06
