     time_s        PosA1T_m       PosA3V_m   
   0.000000e+00    9.648808e-06    1.393020e-03
   5.000000e-03    2.503458e-06    1.393020e-03
   1.000000e-02    9.648808e-06    1.385946e-03
   1.500000e-02    2.503458e-06    1.393020e-03
   2.000000e-02    9.648808e-06    1.393020e-03
   2.500000e-02    9.648808e-06    1.385946e-03
   3.000000e-02    9.648808e-06    1.385946e-03
   3.500000e-02    9.648808e-06    1.385946e-03
   4.000000e-02    9.648808e-06    1.393020e-03
   4.500000e-02    1.679416e-05    1.385946e-03
   5.000000e-02    2.503458e-06    1.385946e-03
   5.500000e-02    9.648808e-06    1.385946e-03
   6.000000e-02   -4.418599e-06    1.371798e-03
   6.500000e-02    1.679416e-05    1.378872e-03
   7.000000e-02    2.503458e-06    1.385946e-03
   7.500000e-02    9.648808e-06    1.385946e-03
   8.000000e-02    2.503458e-06    1.385946e-03
   8.500000e-02    9.648808e-06    1.385946e-03
   9.000000e-02    9.648808e-06    1.385946e-03
   9.500000e-02    2.503458e-06    1.400093e-03
   1.000000e-01    2.503458e-06    1.385946e-03
   1.050000e-01    2.503458e-06    1.378872e-03
   1.100000e-01    2.393951e-05    1.385946e-03
   1.150000e-01    9.648808e-06    1.393020e-03
   1.200000e-01    2.393951e-05    1.385946e-03
   1.250000e-01    2.503458e-06    1.378872e-03
   1.300000e-01    1.679416e-05    1.378872e-03
   1.350000e-01    2.503458e-06    1.378872e-03
   1.400000e-01    1.679416e-05    1.378872e-03
   1.450000e-01    2.503458e-06    1.378872e-03
   1.500000e-01    9.648808e-06    1.371798e-03
   1.550000e-01    2.503458e-06    1.378872e-03
   1.600000e-01    2.503458e-06    1.378872e-03
   1.650000e-01    9.648808e-06    1.385946e-03
   1.700000e-01    9.648808e-06    1.393020e-03
   1.750000e-01    1.679416e-05    1.378872e-03
   1.800000e-01    9.648808e-06    1.371798e-03
   1.850000e-01    1.679416e-05    1.378872e-03
   1.900000e-01    9.648808e-06    1.378872e-03
   1.950000e-01    1.679416e-05    1.378872e-03
   2.000000e-01    1.679416e-05    1.378872e-03
   2.050000e-01    1.679416e-05    1.371798e-03
   2.100000e-01    9.648808e-06    1.371798e-03
   2.150000e-01    9.648808e-06    1.371798e-03
   2.200000e-01    1.679416e-05    1.371798e-03
