     time_s        PosA1T_m       PosA2L_m       PosA3V_m   
   0.000000e+00    2.905819e-06   -2.441406e-10    1.393020e-03
   5.000000e-03    2.905819e-06   -2.441406e-10    1.407168e-03
   1.000000e-02    2.905819e-06   -2.441406e-10    1.400094e-03
   1.500000e-02    2.905819e-06   -2.441406e-10    1.393020e-03
   2.000000e-02    9.473216e-06   -2.441406e-10    1.393020e-03
   2.500000e-02    2.905819e-06    1.600024e-05    1.407168e-03
   3.000000e-02    9.473216e-06    1.600024e-05    1.400094e-03
   3.500000e-02    2.905819e-06    1.600024e-05    1.400094e-03
   4.000000e-02    9.473216e-06   -2.441406e-10    1.414242e-03
   4.500000e-02    2.905819e-06   -2.441406e-10    1.421316e-03
   5.000000e-02    1.604061e-05   -2.441406e-10    1.400094e-03
   5.500000e-02    2.905819e-06   -2.441406e-10    1.393020e-03
   6.000000e-02    9.473216e-06   -2.441406e-10    1.407168e-03
   6.500000e-02    2.905819e-06   -2.441406e-10    1.407168e-03
   7.000000e-02    2.905819e-06   -2.441406e-10    1.400094e-03
   7.500000e-02    2.905819e-06   -2.441406e-10    1.400094e-03
   8.000000e-02   -3.661579e-06   -2.441406e-10    1.414242e-03
   8.500000e-02    2.905819e-06   -2.441406e-10    1.414242e-03
   9.000000e-02    2.905819e-06   -2.441406e-10    1.400094e-03
   9.500000e-02    2.905819e-06   -2.441406e-10    1.407168e-03
   1.000000e-01    2.905819e-06   -2.441406e-10    1.414242e-03
   1.050000e-01    9.473216e-06   -2.441406e-10    1.407168e-03
   1.100000e-01    9.473216e-06   -2.441406e-10    1.407168e-03
   1.150000e-01    9.473216e-06   -2.441406e-10    1.414242e-03
   1.200000e-01    9.473216e-06   -2.441406e-10    1.421316e-03
   1.250000e-01    2.905819e-06   -2.441406e-10    1.407168e-03
   1.300000e-01    9.473216e-06   -2.441406e-10    1.393020e-03
   1.350000e-01    2.905819e-06   -2.441406e-10    1.407168e-03
   1.400000e-01    1.604061e-05   -2.441406e-10    1.414242e-03
   1.450000e-01    2.905819e-06   -2.441406e-10    1.407168e-03
   1.500000e-01    2.905819e-06   -2.441406e-10    1.407168e-03
   1.550000e-01   -3.661579e-06   -2.441406e-10    1.407168e-03
   1.600000e-01    9.473216e-06   -2.441406e-10    1.400094e-03
   1.650000e-01    2.905819e-06   -2.441406e-10    1.393020e-03
   1.700000e-01    2.905819e-06   -2.441406e-10    1.400094e-03
   1.750000e-01    9.473216e-06   -2.441406e-10    1.407168e-03
   1.800000e-01    2.905819e-06   -2.441406e-10    1.407168e-03
   1.850000e-01    9.473216e-06   -2.441406e-10    1.400094e-03
   1.900000e-01   -3.661579e-06   -2.441406e-10    1.407168e-03
   1.950000e-01    9.473216e-06   -2.441406e-10    1.414242e-03
   2.000000e-01   -3.661579e-06   -2.441406e-10    1.407168e-03
   2.050000e-01    9.473216e-06   -2.441406e-10    1.400094e-03
   2.100000e-01   -3.661579e-06   -2.441406e-10    1.407168e-03
   2.150000e-01    2.905819e-06   -2.441406e-10    1.407168e-03
   2.200000e-01   -1.241811e-05   -2.441406e-10    1.407168e-03
   2.250000e-01   -3.661579e-06   -2.441406e-10    1.407168e-03
   2.300000e-01   -3.661579e-06   -2.441406e-10    1.421316e-03
   2.350000e-01    2.905819e-06   -2.441406e-10    1.421316e-03
   2.400000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   2.450000e-01   -1.241811e-05   -2.441406e-10    1.414242e-03
   2.500000e-01    2.905819e-06   -2.441406e-10    1.421316e-03
   2.550000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   2.600000e-01    9.473216e-06   -2.441406e-10    1.400094e-03
   2.650000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   2.700000e-01    9.473216e-06   -2.441406e-10    1.428390e-03
   2.750000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   2.800000e-01    2.905819e-06   -2.441406e-10    1.400094e-03
   2.850000e-01   -1.241811e-05   -2.441406e-10    1.414242e-03
   2.900000e-01   -3.661579e-06   -2.441406e-10    1.421316e-03
   2.950000e-01   -3.661579e-06   -2.441406e-10    1.407168e-03
   3.000000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   3.050000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   3.100000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   3.150000e-01    2.905819e-06   -2.441406e-10    1.407168e-03
   3.200000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   3.250000e-01    2.905819e-06   -2.441406e-10    1.421316e-03
   3.300000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   3.350000e-01   -3.661579e-06   -2.441406e-10    1.407168e-03
   3.400000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   3.450000e-01   -3.661579e-06   -2.441406e-10    1.421316e-03
   3.500000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   3.550000e-01   -3.661579e-06   -2.441406e-10    1.407168e-03
   3.600000e-01    2.905819e-06   -2.441406e-10    1.414242e-03
   3.650000e-01   -3.661579e-06   -2.441406e-10    1.421316e-03
   3.700000e-01    2.905819e-06   -2.441406e-10    1.421316e-03
   3.750000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   3.800000e-01    2.905819e-06   -2.441406e-10    1.421316e-03
   3.850000e-01   -3.661579e-06   -2.441406e-10    1.428390e-03
   3.900000e-01   -1.241811e-05   -2.441406e-10    1.421316e-03
   3.950000e-01   -1.898551e-05   -2.441406e-10    1.414242e-03
   4.000000e-01   -1.241811e-05   -2.441406e-10    1.421316e-03
   4.050000e-01   -3.661579e-06   -2.441406e-10    1.428390e-03
   4.100000e-01   -1.241811e-05   -2.441406e-10    1.421316e-03
   4.150000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   4.200000e-01   -1.898551e-05   -2.441406e-10    1.414242e-03
   4.250000e-01   -3.661579e-06   -2.441406e-10    1.414242e-03
   4.300000e-01   -1.241811e-05   -2.441406e-10    1.400094e-03
   4.350000e-01    2.905819e-06   -2.441406e-10    1.393020e-03
   4.400000e-01   -1.241811e-05   -2.441406e-10    1.407168e-03
   4.450000e-01   -3.661579e-06   -2.441406e-10    1.407168e-03
